NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Other_desigs,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
,,,14.73,0.15,599.0,0.54,0,1999-2020,M-v,3Ek,(82787),,2001 QP22,,2459200.5,319.88419,339.65929,351.55654,12.34026,0.1041067,0.19481238,2.9470783,E2021-B10,16,Pan,0000,2020-06-17,2459406.42031,5.059266,2.6402677,3.2538889,1.4575686,1.24635,MBA
,,,18.5,0.15,91.0,0.45,0.0,2003-2020,M-v,38h,,,2015 BA202,,2459000.5,266.60466,312.64978,84.91714,3.12034,0.2100045,0.28342655,2.2953154,E2020-Q98,6,Pan,0400,2020-08-15,2459330.02226,3.4774713,1.8132888,2.777342,1.0970438,1.4036374,MBA
,,,15.74,0.15,347.0,0.59,0,1998-2020,M-v,3Ek,(221456),,2006 BA13,,2459200.5,254.40891,317.6598,161.72398,1.73308,0.1546484,0.17760984,3.1344261,E2021-B55,16,Pan,0000,2020-09-23,2459795.01162,5.5492853,2.6496921,3.6191601,1.5297314,1.2198147,MBA
,,,17.0,0.15,88.0,0.48,0.0,2002-2020,M-v,38h,,,2010 JD197,,2459200.5,146.56684,267.7314,352.27037,10.97607,0.1588622,0.24243574,2.5472503,E2020-XA6,10,MPCLINUX,0400,2020-12-10,2458595.94036,4.0654389,2.1425885,2.9519121,1.2414824,1.3262176,MBA
,,,17.1,0.15,210.0,0.31,0,1999-2020,M-v,38h,(164834),,1999 TL64,,2459200.5,239.78788,98.9082,198.53511,2.85776,0.1376944,0.25723546,2.4485868,MPO527287,14,Williams,0000,2020-01-05,2459667.82339,3.831539,2.1114301,2.7857435,1.2010811,1.3531648,MBA
,,,16.2,0.15,49.0,0.34,0,2005-2018,M-v,38h,(538256),,2016 CO269,,2459200.5,223.53163,272.10511,3.23769,25.71662,0.1940518,0.17676731,3.144378,MPO535711,4,MPCW,0000,2018-11-09,2459972.52271,5.575735,2.5342058,3.7545502,1.5129865,1.2185441,MBA
,,,16.97,0.15,120.0,0.6,0,1996-2020,M-v,3Ek,(281965),,2011 GP66,['2011 CK64'],2459000.5,72.92619,308.83667,203.32226,31.20914,0.2467434,0.22919768,2.6444127,E2020-QN2,8,Pan,0000,2020-07-23,2458682.31957,4.3002515,1.9919213,3.2969041,1.2417074,1.3030072,MBA
,,,18.3,0.15,34.0,0.17,1.0,2010-2020,M-v,38h,,,2016 BB114,,2459000.5,24.54303,268.55488,232.95308,11.63044,0.2071618,0.23601287,2.5932572,E2020-N58,4,Veres,0000,2020-03-23,2458896.50975,4.1760759,2.0560334,3.130481,1.2409825,1.3148539,MBA
,,,16.7,0.15,78.0,0.21,0.0,2003-2020,M-v,38h,,,2013 AM145,,2459000.5,27.67998,56.59346,160.38185,16.97855,0.0632839,0.17874285,3.1211665,E2020-M82,8,MPCLINUX,0400,2020-06-22,2458845.64073,5.5141097,2.9236469,3.3186861,1.5543333,1.2215276,MBA
,,,18.4,0.15,49.0,0.17,0,2009-2020,M-v,38h,,,2013 PA85,,2459000.5,288.1876,228.04263,102.34435,3.7121,0.1996229,0.25929667,2.4355932,E2020-MA6,4,MPCLINUX,0400,2020-06-24,2459277.4508,3.801081,1.949393,2.9217934,1.1692683,1.357005,MBA
,,,17.1,0.15,173.0,0.35,0,2006-2020,M-v,38h,(306031),,2010 ET122,,2459200.5,354.33705,229.89917,357.57411,8.66034,0.1982185,0.27935974,2.3175379,MPO534274,9,MPCW,0000,2020-01-03,2459220.77118,3.528095,1.858159,2.7769168,1.1132403,1.3955548,MBA
,,,17.6,0.15,147.0,0.38,0.0,2006-2019,M-v,38h,(424647),,2008 PY6,,2459200.5,95.02196,285.0205,145.55902,25.65251,0.1359066,0.36219188,1.9491424,MPO535139,6,MPCW,0006,2019-10-27,2458938.1474,2.7212306,1.6842411,2.2140437,0.9565703,1.5809797,Hungaria
,,,18.61,0.15,92.0,0.72,0,2005-2020,M-v,3Ek,(461668),,2005 GY190,,2459200.5,163.65259,117.92653,345.01313,0.96101,0.131273,0.26949481,2.3737544,E2021-B25,7,Pan,0000,2020-05-13,2458593.24305,3.6572418,2.0621445,2.6853643,1.1664242,1.3763301,MBA
,,,17.5,0.15,152.0,0.34,0,2003-2019,M-v,38h,(262136),,2006 SW61,,2459200.5,9.5833,262.35625,63.15371,3.15669,0.2237078,0.27453106,2.344634,MPO470788,10,MPCLINUX,0000,2019-02-09,2459165.5921,3.5901499,1.8201211,2.8691469,1.1136482,1.386078,MBA
,,,18.8,0.15,54.0,0.26,0.0,2007-2019,M-v,38h,,,2010 VM249,,2459000.5,358.76747,194.02156,224.31675,2.11963,0.0597093,0.31193787,2.1532311,E2020-N25,7,Veres,0400,2019-07-04,2459004.4512,3.1596281,2.0246632,2.281799,1.0727772,1.4630427,MBA
,,,16.3,0.15,242.0,0.44,0.0,2005-2021,M-v,38h,,,2010 UW61,,2459200.5,58.39031,171.28646,244.06549,12.15482,0.2902245,0.21323861,2.7747604,E2021-B10,7,MPCLINUX,0400,2021-01-15,2458926.67383,4.6220882,1.969457,3.5800638,1.2705208,1.2760838,MBA
,,,17.8,0.15,71.0,0.23,0.0,2001-2019,M-v,38h,,,2014 JT53,,2459000.5,154.60212,164.34012,63.03914,3.25311,0.1417802,0.23063489,2.6334154,MPO495820,6,MPCLINUX,0400,2019-09-06,2458330.16699,4.2734542,2.2600492,3.0067816,1.2902397,1.3054877,MBA
,,,16.5,0.15,184.0,0.34,0.0,2001-2018,M-v,38h,(412323),,2013 KN5,,2459200.5,293.25722,196.38085,50.70555,6.62976,0.139176,0.23669872,2.5882454,MPO460565,12,MPCLINUX,0000,2018-10-12,2459482.47358,4.1639756,2.2280238,2.948467,1.2690556,1.3160581,MBA
,,,16.7,0.15,163.0,0.47,0,2000-2018,M-v,38h,(243861),,2000 WJ131,,2459200.5,311.9501,14.64569,70.58051,6.92758,0.2570082,0.24142185,2.5543771,MPO446288,8,MPCLINUX,0000,2018-04-13,2459399.52884,4.0825125,1.8978812,3.210873,1.1928261,1.3244107,MBA
,,,16.4,0.15,48.0,0.19,0.0,2005-2020,M-v,38h,,,2015 DY251,,2459000.5,168.66598,227.60641,107.1578,11.45371,0.2219579,0.17571843,3.1568783,MPO544455,6,Rudenko,0400,2020-01-26,2458040.63478,5.609017,2.4561842,3.8575724,1.5006769,1.216966,MBA
,,,16.7,0.15,311.0,0.36,0,2001-2019,M-v,38h,(159768),,2003 HU10,,2459200.5,258.00765,51.10714,173.35601,1.82067,0.1513605,0.26665691,2.3905664,MPO502929,13,Williams,0000,2019-11-01,2459582.98532,3.6961639,2.0287291,2.7524037,1.1678993,1.3708973,MBA
,,,18.7,0.15,29.0,0.25,0.0,2011-2020,M-v,38h,,,2011 EL97,,2459000.5,234.59797,77.9488,332.31898,18.96547,0.1039817,0.36129874,1.9523533,E2020-QH3,5,MPCLINUX,0006,2020-08-23,2459347.58686,2.7279576,1.7493443,2.1553623,0.965622,1.5787179,Hungaria
,,,18.1,0.15,121.0,0.42,1,2004-2020,M-v,38h,(530592),,2011 SN24,,2459200.5,223.45141,354.20687,3.79966,7.44641,0.2462849,0.27694288,2.3310016,MPO535646,6,MPCW,0000,2020-01-19,2459693.55701,3.5588842,1.7569111,2.9050921,1.0948059,1.3907953,MBA
,,,17.5,0.15,113.0,0.36,0,2001-2017,M-v,38h,(426794),,2013 TT131,,2459200.5,18.72717,250.25293,72.52883,6.38717,0.2523537,0.26538632,2.3981906,MPO440789,9,MPCLINUX,0000,2017-12-22,2459129.9343,3.7138601,1.7929983,3.0033829,1.122734,1.3684788,MBA
,,,17.5,0.15,39.0,0.25,0,2008-2019,M-v,38h,(444940),,2008 CX40,,2459200.5,286.01089,293.29092,194.61861,4.05287,0.2133948,0.21115587,2.7929765,MPO477109,5,MPCLINUX,0000,2019-07-25,2459550.90056,4.6676784,2.1969698,3.3889832,1.3328959,1.272652,MBA
,,,15.08,0.15,1126.0,0.46,0,1982-2021,M-v,3Ek,(159783),,2003 MY9,,2459200.5,57.29683,239.08284,81.1754,14.20616,0.2920131,0.23817909,2.5775096,E2021-B55,18,Pan,0000,2021-01-12,2458959.93794,4.1380948,1.824843,3.3301762,1.1788606,1.3186647,MBA
,,,18.8,0.15,38.0,0.14,3.0,,M-v,38h,,,2017 SY116,,2459000.5,278.38479,64.48381,270.88076,2.7399,0.2316236,0.26972892,2.3723806,MPO448829,1,MPCW,2000,2017-09-30,2459303.08237,3.6540673,1.8228813,2.9218799,1.1225518,1.3767802,MBA
,,,18.8,0.15,49.0,0.55,2,2004-2020,M-v,38h,,,2014 SH284,,2459000.5,260.27755,107.79642,247.99268,4.57387,0.2884833,0.29729216,2.2233803,MPO544242,3,MPCLINUX,0005,2020-04-22,2459335.93592,3.3152832,1.5819722,2.8647884,1.0191724,1.4319126,Object with perihelion distance < 1.665 AU
,,,16.3,0.15,57.0,0.19,0,2002-2021,M-v,38h,,,2013 NX1,,2459200.5,77.84226,54.94176,291.89169,24.72756,0.1716067,0.17456014,3.1708278,E2021-A62,6,MPCLINUX,0400,2021-01-06,2458754.56614,5.6462355,2.6266925,3.7149631,1.5387253,1.215228,MBA
,,,14.2,0.15,666.0,0.43,0,2000-2019,M-v,38h,(130362),,2000 GY87,,2459200.5,299.43798,83.47197,65.10367,10.88075,0.1794193,0.1776381,3.1340936,MPO506465,14,Williams,0000,2019-11-27,2459541.42923,5.5484023,2.5717767,3.6964105,1.5166015,1.2198574,MBA
,,,14.89,0.15,278.0,0.48,0,1998-2020,M-v,3Ek,(273239),,2006 KG26,"['1998 BQ49', '2010 CT244']",2459200.5,233.23145,328.53172,112.05332,14.31659,0.0494082,0.15210371,3.4757044,E2021-B55,14,Pan,0000,2020-07-21,2460033.93502,6.4798395,3.3039761,3.6474327,1.7336098,1.1824871,MBA
,,,18.2,0.15,36.0,0.28,0,2007-2020,M-v,38h,,,2007 VP158,,2459200.5,34.89532,199.24821,199.1594,6.04008,0.2088763,0.23073968,2.6326181,E2020-Y56,4,MPCLINUX,0000,2020-12-18,2459049.26753,4.2715136,2.0827266,3.1825096,1.2588794,1.3056689,MBA
,,,16.9,0.15,131.0,0.27,0,1999-2020,M-v,38h,(320789),,2008 EN141,,2459200.5,1.70263,286.42856,215.95861,6.58023,0.0305907,0.22352564,2.6889608,MPO534389,11,MPCW,0000,2020-01-21,2459192.88284,4.4093717,2.6067036,2.771218,1.3432222,1.2933092,MBA
,,,17.6,0.15,51.0,0.28,2.0,2014-2020,M-v,38h,,,2015 BU96,,2459000.5,117.36107,342.82539,101.83394,14.35611,0.1232946,0.23164442,2.6257588,MPO544377,3,MPCLINUX,0000,2020-04-22,2458493.85676,4.2548303,2.3020169,2.9495007,1.2929216,1.3072357,MBA
,,,15.76,0.15,679.0,0.54,0,2001-2020,M-v,3Ek,(143268),,2003 AA12,,2459200.5,85.66965,297.45256,141.2606,13.76372,0.2440385,0.22918669,2.6444973,E2021-B55,14,Pan,0000,2020-02-20,2458826.70131,4.3004578,1.9991381,3.2898565,1.2435024,1.3029883,MBA
,,,18.8,0.15,11.0,0.52,,,,,,,2006 AQ94,,2453740.5,15.76582,324.95421,119.07801,4.63929,0.300125,0.20795191,2.8215913,MPO 98088,1,MPCS,2000,2006-01-22,2453664.68526,4.7395942,1.9747612,3.6684214,1.2837182,1.2674087,MBA
,,,16.81,0.15,497.0,0.54,0,1996-2020,M-v,3Ek,(194150),,2001 TF4,,2459200.5,248.78605,141.80699,194.10109,6.42452,0.1569604,0.28745806,2.2738041,E2021-B55,13,Pan,0000,2020-04-22,2459587.38765,3.4287006,1.9169069,2.6307013,1.1088927,1.4117428,MBA
,,,16.4,0.15,232.0,0.42,0,2000-2019,M-v,38h,(215920),,2005 JB86,,2459200.5,324.36125,285.42477,194.46382,3.30832,0.2098966,0.23139232,2.6276655,MPO494189,11,Williams,0000,2019-09-29,2459354.51874,4.2594656,2.0761274,3.1792036,1.2559498,1.3067988,MBA
,,,17.1,0.15,134.0,0.44,0,1994-2019,M-v,38h,(332052),,2005 QG183,,2459200.5,113.1432,181.43431,128.93198,5.93774,0.2255401,0.27251501,2.3561834,MPO476521,12,Williams,0000,2019-05-03,2458785.31845,3.6167096,1.8247696,2.8875972,1.1181641,1.3821593,MBA
,,,17.41,0.15,151.0,0.54,0,2000-2020,M-v,3Ek,(377822),,2006 BM85,,2459200.5,235.18531,28.97849,5.28631,1.7379,0.2162544,0.22828481,2.6514577,E2021-B25,11,Pan,0000,2020-04-27,2459747.24989,4.3174474,2.0780683,3.2248471,1.2637299,1.3014366,MBA
,,,16.3,0.15,74.0,0.28,0.0,2003-2020,M-v,38h,,,2003 UZ297,,2459000.5,42.85565,23.61877,352.33445,2.35152,0.2187188,0.12431271,3.9761159,MPO542887,4,Rudenko,0408,2020-01-19,2458655.75928,7.9284548,3.1064646,4.8457672,1.8929534,1.1443323,Hilda
,,,18.32,0.15,102.0,0.58,0,2004-2020,M-v,3Ek,(503981),,2004 TS90,,2459200.5,356.66479,313.63898,1.28704,5.39341,0.1598018,0.29480357,2.2358752,E2021-B25,7,Pan,0000,2020-06-23,2459211.81333,3.3432691,1.8785783,2.5931721,1.0893893,1.4267542,MBA
,,,18.2,0.15,68.0,0.35,0.0,2005-2020,M-v,38h,,,2016 CC22,,2459000.5,98.50168,302.92963,146.91419,8.32936,0.174579,0.27072614,2.3665513,MPO544767,8,MPCLINUX,0400,2020-04-21,2458636.65743,3.6406077,1.9534011,2.7797015,1.147212,1.3787007,MBA
,,,17.6,0.15,36.0,0.23,0.0,2010-2019,M-v,38h,,,2010 RU6,,2459000.5,344.48883,258.88759,158.65488,14.75804,0.1218878,0.21609728,2.7502352,MPO543574,4,Rudenko,0000,2019-08-23,2459072.27867,4.5609442,2.4150151,3.0854553,1.354688,1.2808244,MBA
,,,18.7,0.15,42.0,0.45,1.0,2002-2012,M-v,38h,,,2012 SQ60,,2459000.5,146.99803,157.10951,168.56294,5.55938,0.1983826,0.30036697,2.2081807,MPO243653,4,MPCS,0000,2012-10-21,2458511.1051,3.2813452,1.7701161,2.6462453,1.0606382,1.4383379,MBA
,,,18.6,0.15,26.0,0.21,3.0,2008-2020,M-v,38h,,,2008 UB348,,2459200.5,344.75579,354.94859,62.8494,5.26887,0.1481455,0.24222575,2.5487223,E2020-UQ6,4,MPCLINUX,0000,2020-10-19,2459263.43391,4.0689634,2.1711406,2.926304,1.2463926,1.3258429,MBA
,,,16.9,0.15,201.0,0.25,2.0,,M-v,38h,,,2019 AW27,,2459000.5,103.82307,32.14252,71.2861,18.26216,0.346288,0.18580682,3.0415499,E2020-N09,1,MPCLINUX,2000,2019-04-16,2458441.73105,5.3044751,1.9882977,4.0948021,1.3384106,1.2323164,MBA
,,,13.8,0.15,121.0,0.3,0,2000-2019,M-v,38h,(390330),,2013 BG62,,2459200.5,319.027,285.08678,130.30223,6.59402,0.0787102,0.0837976,5.1718787,MPO494980,11,Williams,0009,2019-09-25,2459689.45195,11.7617649,4.7647991,5.5789583,2.5699187,1.0929216,Jupiter Trojan
,,,16.2,0.15,125.0,0.3,0,2001-2019,M-v,38h,(483158),,2015 PO8,,2459200.5,314.49656,196.84683,176.19499,16.6371,0.1004521,0.17672756,3.1448494,MPO477291,12,MPCLINUX,0000,2019-05-10,2459457.97798,5.5769889,2.8289427,3.4607561,1.556558,1.2184843,MBA
,,,16.9,0.15,66.0,0.27,0.0,2000-2020,M-v,38h,,,2016 PD124,,2459000.5,276.71955,201.18824,152.7924,2.74933,0.1141515,0.18991496,2.9975281,E2020-O67,10,MPCLINUX,0400,2020-07-21,2459439.01457,5.1897316,2.6553558,3.3397004,1.4792343,1.2386788,MBA
,,,17.4,0.15,32.0,0.27,2.0,2015-2017,M-v,38h,,,2015 FX161,,2459000.5,184.27497,25.27527,43.84583,13.54667,0.0547938,0.22192174,2.7019014,MPO488841,2,Williams,0000,2017-11-26,2459792.33347,4.44124,2.553854,2.8499488,1.3468947,1.2905929,MBA
,,,17.5,0.15,49.0,0.28,0.0,2006-2020,M-v,38h,,,2017 VM26,,2459000.5,295.72103,286.76265,24.75776,2.3669,0.064787,0.22391286,2.6858599,E2020-OA3,7,Veres,0400,2020-06-13,2459287.57144,4.4017466,2.5118511,2.8598687,1.3372932,1.2939666,MBA
,,,17.8,0.15,4.0,0.74,,,,,,,2010 FO81,,2455280.5,31.21458,86.88998,351.17325,14.75933,0.1957898,0.20851752,2.8164866,MPO175378,1,MPCS,2000,2010-03-27,2455130.80235,4.726738,2.2650473,3.3679259,1.3542602,1.2683312,MBA
,,,16.7,0.15,222.0,0.47,0,2001-2019,M-v,38h,(275793),,2001 QT148,,2459200.5,117.13138,285.215,53.5694,7.11456,0.1429658,0.27085028,2.3658281,MPO503243,12,Williams,0000,2019-11-02,2458768.04184,3.638939,2.0275956,2.7040606,1.1587362,1.3789402,MBA
,,,17.4,0.15,334.0,0.44,0,2001-2019,M-v,38h,(390567),,2001 FP6,,2459200.5,282.43441,305.83986,192.97194,21.72167,0.0979674,0.38495444,1.8715287,MPO534936,9,MPCW,0006,2019-07-20,2459401.99293,2.5603229,1.6881799,2.0548775,0.9267832,1.640893,Hungaria
,,,15.1,0.15,493.0,0.34,0,2000-2019,M-v,38h,(150591),,2000 WF94,,2459200.5,229.01773,11.84312,63.62085,8.14818,0.1507429,0.17768026,3.1335978,MPO532787,13,MPCW,0000,2019-05-28,2459937.67989,5.5470858,2.6612302,3.6059654,1.5311959,1.2199211,MBA
,,,16.3,0.15,671.0,0.42,0,2001-2020,M-v,38h,(107431),,2001 DD14,,2459200.5,140.81503,40.97955,322.54031,17.10948,0.1011045,0.3488424,1.998557,MPO526893,11,Williams,0006,2020-01-06,2458796.83625,2.8253666,1.7964939,2.2006201,0.9890638,1.5478352,Hungaria
,,,14.7,0.15,661.0,0.41,0.0,2000-2020,M-v,38h,(76077),,2000 DW85,,2459200.5,133.59288,227.90725,119.86943,11.95857,0.0234366,0.18557138,3.044122,MPO531994,16,MPCW,0000,2020-01-29,2458480.59946,5.3112052,2.9727781,3.1154659,1.521225,1.2319537,MBA
,,,17.7,0.15,18.0,0.23,4.0,,M-v,38h,,,2017 QX84,,2459000.5,187.93443,139.19813,249.93132,9.27735,0.2430668,0.21710627,2.7417076,MPO523493,1,Veres,2000,2017-10-16,2459793.04102,4.5397476,2.0752895,3.4081257,1.2898617,1.282506,MBA
,,,18.7,0.15,73.0,0.38,2,2013-2019,M-v,38h,,,2013 YA139,,2459000.5,54.00121,3.51944,42.5656,7.1594,0.1263364,0.31171601,2.1542527,MPO544070,3,Rudenko,0000,2019-12-20,2458827.26151,3.161877,1.8820922,2.4264132,1.0599345,1.462561,MBA
,,,17.46,0.15,140.0,0.66,0,2007-2020,M-v,3Ek,(471657),,2012 TA131,,2459200.5,0.66208,224.58807,125.78894,5.53667,0.2063402,0.23512626,2.5997722,E2021-B25,9,Pan,0000,2020-07-27,2459197.68415,4.1918231,2.0633347,3.1362097,1.2445418,1.3133006,MBA
,,,15.96,0.15,808.0,0.51,0,1960-2020,M-v,3Ek,(131973),,2002 CK56,,2459200.5,47.2926,3.588,197.10125,2.11112,0.1574841,0.27283799,2.3543236,E2021-B55,16,Pan,0000,2020-05-21,2459027.16411,3.6124283,1.9835551,2.7250921,1.1479667,1.3827856,MBA
,,,17.5,0.15,26.0,0.25,1.0,2008-2019,M-v,38h,,,2011 FF101,,2459000.5,12.98629,219.98677,3.46988,13.19645,0.1701183,0.22568728,2.6717634,MPO516260,4,Veres,0000,2019-01-04,2458942.9589,4.3671388,2.2172476,3.1262792,1.297221,1.2969881,MBA
,,,17.4,0.15,15.0,0.08,3.0,,M-v,38h,,,2020 OA31,,2459200.5,16.54396,279.99673,70.01995,11.3585,0.1842462,0.18380751,3.0635659,E2020-UO8,1,Veres,0000,2020-09-18,2459110.49301,5.3621732,2.4991155,3.6280163,1.479784,1.2292435,MBA
,,,19.1,0.15,33.0,0.28,3.0,2003-2020,M-v,38h,,,2006 FN59,,2459000.5,21.6367,51.95565,125.4908,1.26418,0.1513525,0.28012308,2.3133257,E2020-OH0,4,MPCLINUX,0000,2020-04-21,2458923.26,3.5184807,1.9631981,2.6634533,1.1301665,1.3970648,MBA
,,,17.92,0.15,171.0,0.53,0,2005-2020,M-v,3Ek,(379155),Volkerheinrich,2009 QR6,['2005 LV31'],2459200.5,55.79374,167.46952,132.68999,5.43071,0.2115993,0.2692888,2.3749648,E2021-B25,8,Pan,0000,2020-10-15,2458993.31077,3.6600394,1.8724239,2.8775057,1.1343137,1.3759343,MBA
1.0,,,24.8,0.15,131.0,0.64,3.0,,M-v,3Eh,,,2002 PN,,2459000.5,62.16506,107.62472,309.4737,9.14447,0.0687696,0.96458589,1.0144768,MPO 48243,1,MPCS,2803,2003-04-08,2458936.05259,1.0217936,0.9447116,1.084242,0.5048395,46.8850241,Apollo
,,,18.1,0.15,82.0,0.32,0,2002-2017,M-v,38h,(457699),,2009 EB23,,2459200.5,90.92886,30.4138,199.69705,1.97003,0.153333,0.28090998,2.3090036,MPO437754,7,MPCLINUX,0000,2017-10-16,2458876.80596,3.5086247,1.9549572,2.66305,1.1273583,1.3986248,MBA
,,,17.9,0.15,47.0,0.2,2.0,2003-2020,M-v,38h,,,2011 HM58,,2459000.5,352.35476,44.85835,180.52977,14.09512,0.1604496,0.21555978,2.7548052,E2020-OA3,3,MPCLINUX,0000,2020-05-25,2459035.96693,4.5723171,2.3127978,3.1968126,1.3419426,1.2799304,MBA
,,,16.9,0.15,46.0,0.24,0.0,2009-2018,M-v,38h,,,2012 TN334,,2459000.5,162.59968,83.43745,299.24776,7.24626,0.1009518,0.18984684,2.9982451,MPO517600,6,MPCLINUX,0400,2018-12-10,2458144.02162,5.1915937,2.6955669,3.3009233,1.4838446,1.2385727,MBA
,,,13.46,0.15,2672.0,0.49,0,1961-2021,M-v,3Ek,(5291),Yuuko,1990 YT,"['1961 BB', '1969 JC', '1982 XM1', '1984 FE1', '1989 SB10']",2459200.5,264.30284,350.66292,209.44159,2.0489,0.1563335,0.2615881,2.421349,E2021-B10,27,Pan,0000,2021-01-13,2459566.33147,3.7677848,2.042811,2.799887,1.1810854,1.3612998,MBA
,,,17.1,0.15,74.0,0.34,0.0,2003-2020,M-v,38h,,,2016 ES227,,2459200.5,80.99141,28.44086,19.65668,7.50434,0.0668661,0.18926859,3.0043488,E2020-YE2,10,Veres,0400,2020-12-22,2458772.58194,5.207455,2.8034597,3.2052379,1.4954581,1.2376734,MBA
,,,14.0,0.15,54.0,0.25,1.0,2014-2020,M-v,38h,,,2014 EX18,,2459200.5,301.59092,70.01066,354.33645,28.15453,0.0897698,0.08380745,5.1714735,E2020-XI0,3,MPCLINUX,0009,2020-12-15,2459897.44418,11.7603827,4.7072314,5.6357156,2.5648993,1.0929335,Jupiter Trojan
,,,16.9,0.15,63.0,0.19,0,2007-2019,M-v,38h,(514239),,2015 OL88,,2459200.5,92.61165,51.14638,265.70199,10.40364,0.0735411,0.22300483,2.6931459,MPO477407,8,MPCLINUX,0000,2019-06-12,2458785.21006,4.4196698,2.495089,2.8912028,1.3392903,1.2924259,MBA
,,,16.85,0.15,415.0,0.47,0.0,1992-2021,M-v,3Ek,(350488),,1999 TF152,,2459200.5,359.2216,226.47466,186.20177,5.34549,0.3015403,0.23454185,2.604089,E2021-B25,12,Pan,0000,2021-01-12,2459203.81881,4.2022679,1.8188512,3.3893268,1.1836541,1.3122787,MBA
,,,17.7,0.15,97.0,0.39,0,1994-2017,M-v,38h,(364839),,2008 CA142,,2459200.5,286.24347,301.02826,188.55326,1.21337,0.352272,0.21199693,2.7855845,MPO402491,6,MPCLINUX,0000,2017-02-16,2459548.41325,4.6491601,1.8043011,3.7668679,1.2199529,1.2740357,MBA
,,,17.6,0.15,114.0,0.13,0.0,2006-2020,M-v,38h,,,2019 GS23,,2459000.5,128.9393,123.93611,43.68664,12.0396,0.145021,0.22705847,2.6609961,E2020-Q09,4,Veres,0000,2020-08-14,2458432.63156,4.3407658,2.2750958,3.0468964,1.3025162,1.2993326,MBA
,,,15.67,0.15,492.0,0.56,0,1996-2020,M-v,3Ek,(65221),,2002 ET22,"['1998 HL9', '2000 WC181']",2459200.5,123.69136,317.72218,123.03266,9.71115,0.0273058,0.21580839,2.7526891,E2021-B10,16,Pan,0000,2020-04-28,2458627.34614,4.5670498,2.6775247,2.8278535,1.3753183,1.2803437,MBA
,,,17.1,0.15,47.0,0.18,2,2014-2019,M-v,38h,,,2014 WZ130,,2459000.5,61.97873,82.34584,242.31952,20.00957,0.2251044,0.17397246,3.1779646,E2020-DB5,2,Veres,0000,2019-10-24,2458644.24389,5.6653087,2.4625908,3.8933384,1.5084654,1.2143481,MBA
,,,18.0,0.15,13.0,0.33,,,,,,,2008 QV27,,2454700.5,336.18793,270.99209,116.19658,6.57997,0.3436816,0.23834683,2.5763002,MPO143314,1,MPCW,2000,2008-09-06,2454800.40514,4.1351827,1.6908732,3.4617272,1.1359976,1.3189607,MBA
,,,17.3,0.15,50.0,0.3,0.0,2009-2020,M-v,38h,,,2009 HJ117,,2459200.5,231.19526,1.68398,205.49093,4.25748,0.050474,0.22073724,2.7115585,E2020-WI0,8,MPCLINUX,0400,2020-11-19,2459784.02077,4.465072,2.5746953,2.8484217,1.3523252,1.2885943,MBA
,,,18.6,0.15,20.0,0.12,2.0,,M-v,38h,,,2020 QU24,,2459200.5,3.9233,77.94055,311.35391,14.68054,0.3326153,0.18337602,3.0683697,E2020-V08,1,Veres,0000,2020-10-13,2459179.10516,5.3747903,2.047783,4.0889564,1.3644535,1.2285824,MBA
,,,17.4,0.15,29.0,0.36,4.0,2002-2018,M-v,38h,,,2002 PL199,,2459200.5,184.51535,221.123,137.03027,8.81931,0.2388569,0.19298069,2.9656972,E2020-X92,2,Veres,0000,2018-11-14,2460109.8383,5.1072864,2.25732,3.6740744,1.3982482,1.2434698,MBA
,,,17.1,0.15,264.0,0.38,0,2004-2019,M-v,38h,(229850),,2009 SP255,,2459200.5,111.53879,297.32082,94.80929,24.83311,0.1023318,0.37827697,1.893489,MPO475879,10,MPCLINUX,0006,2019-07-06,2458905.63983,2.6055186,1.6997249,2.0872531,0.9368304,1.6228517,Hungaria
,,,17.2,0.15,290.0,0.35,0,2002-2019,M-v,38h,(217186),,2002 RL245,,2459200.5,66.62601,82.66783,273.25273,1.87324,0.1988546,0.28140416,2.3062995,MPO475778,12,MPCLINUX,0000,2019-07-29,2458963.73724,3.502463,1.8476812,2.7649178,1.1075506,1.3996063,MBA
,,,17.5,0.15,63.0,0.21,0,2005-2019,M-v,38h,(461333),,2015 XM311,['2014 QK315'],2459200.5,93.40227,256.50653,102.61488,4.56232,0.103145,0.21096226,2.7946851,MPO495307,7,Williams,0000,2019-09-24,2458757.7559,4.6719622,2.5064273,3.0829429,1.3824764,1.272334,MBA
,,,16.9,0.15,131.0,0.31,0,1998-2020,M-v,38h,(319936),,2006 YE50,,2459200.5,108.89916,119.16471,297.05472,4.40595,0.0569751,0.2219835,2.7014001,MPO534383,12,MPCW,0000,2020-01-23,2458709.92678,4.4400041,2.5474876,2.8553126,1.3463155,1.2906973,MBA
,,,16.9,0.15,80.0,0.22,0,2011-2020,M-v,38h,,,2013 QP66,,2459000.5,70.92058,137.78468,328.65526,25.51177,0.0741504,0.22480831,2.678723,MPO544013,5,MPCLINUX,0400,2020-04-27,2458685.02864,4.3842137,2.4800946,2.8773514,1.3319973,1.2954896,MBA
