NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Other_desigs,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
,,,16.1,0.15,72.0,0.38,0.0,2012-2019,M-v,38h,,,2018 FV28,,2459000.5,171.93689,315.78749,180.47268,26.80856,0.1534244,0.17310561,3.1885651,MPO477905,4,MPCLINUX,0400,2019-07-06,2458007.25143,5.6936784,2.6993614,3.6777688,1.5567547,1.2130525,MBA
,,,17.9,0.15,112.0,0.29,0.0,2000-2020,M-v,38h,,,2011 SD128,,2459000.5,87.6652,50.56626,41.12879,4.33833,0.0895215,0.27512939,2.3412335,MPO543721,9,MPCLINUX,0400,2020-04-18,2458681.86727,3.5823424,2.1316428,2.5508242,1.1612353,1.3872453,MBA
,,,15.99,0.15,708.0,0.5,0,1983-2021,M-v,3Ek,(204479),,2005 AW54,,2459200.5,25.81009,201.17159,177.32132,4.47217,0.2670583,0.24016421,2.5632867,E2021-B55,16,Pan,0000,2021-01-15,2459093.03148,4.1038906,1.8787397,3.2478337,1.1902364,1.3221763,MBA
,,,15.44,0.15,573.0,0.61,0,1995-2020,M-v,3Ek,(91077),,1998 FN106,,2459200.5,79.43182,198.79795,353.28762,13.36805,0.0892412,0.22648869,2.6654572,E2021-B10,17,Pan,0000,2020-06-15,2458849.78999,4.3516862,2.4275886,2.9033258,1.3221148,1.2983573,MBA
,,,16.23,0.15,463.0,0.58,0,2001-2020,M-v,3Ek,(127863),,2003 FE118,,2459200.5,320.50374,144.66383,99.20004,6.58574,0.0750279,0.28060145,2.3106958,E2021-B55,14,Pan,0000,2020-05-17,2459341.25575,3.5124824,2.1373291,2.4840625,1.1488442,1.3980127,MBA
,,,18.3,0.15,66.0,0.25,0.0,2004-2020,M-v,38h,,,2019 JZ20,,2459200.5,114.18862,133.33452,154.89973,3.05832,0.1921252,0.26979343,2.3720025,E2020-VF7,7,MPCLINUX,0400,2020-11-14,2458777.25532,3.6531938,1.916281,2.827724,1.1422235,1.3769042,MBA
,,,17.2,0.15,71.0,0.3,0,2011-2020,M-v,38h,,,2014 XP8,,2459000.5,112.38938,295.09485,89.67131,14.02697,0.2809758,0.2278341,2.6549534,MPO536228,5,MPCLINUX,0000,2020-01-27,2458507.20519,4.3259884,1.9089757,3.4009311,1.2226759,1.3006625,MBA
,,,18.2,0.15,55.0,0.36,3.0,2005-2019,M-v,38h,,,2005 WK98,,2459000.5,97.62451,315.81605,57.20049,9.27787,0.1625265,0.28547261,2.2843348,MPO543020,4,Rudenko,0000,2019-12-03,2458658.52494,3.4525473,1.9130699,2.6555997,1.1119972,1.4077393,MBA
,,,17.2,0.15,42.0,0.3,0.0,2009-2020,M-v,38h,,,2009 FN87,,2459000.5,185.967,121.32944,7.90002,9.64107,0.1159346,0.20929761,2.8094838,E2020-Q98,7,Pan,0000,2020-08-16,2459832.00977,4.7091204,2.4837674,3.1352002,1.385861,1.2696057,MBA
,,,13.64,0.15,1186.0,0.5,0.0,1999-2021,M-v,3Ek,(71733),,2000 JQ47,,2459200.5,294.58871,228.18315,248.49875,17.89639,0.2220138,0.17220575,3.1996633,E2021-B10,17,Pan,0000,2021-01-13,2459580.34393,5.7234306,2.4892939,3.9100327,1.5209757,1.2117105,MBA
,,,16.88,0.15,328.0,0.58,0,1994-2020,M-v,3Ek,(204819),,2007 PU1,['2006 DC37'],2459200.5,188.57797,24.88874,315.71838,0.94137,0.1972872,0.26339979,2.4102334,E2021-B55,14,Pan,0000,2020-02-02,2459851.30571,3.7418696,1.9347252,2.8857416,1.1582109,1.3647146,MBA
,,,16.8,0.15,129.0,0.31,0,2002-2018,M-v,38h,(327482),,2005 YK81,,2459200.5,246.11753,156.8337,112.22465,7.46755,0.0166639,0.2063591,2.8360919,MPO455415,10,MPCLINUX,0000,2018-09-15,2459752.36551,4.7761774,2.7888315,2.8833523,1.4176522,1.2648181,MBA
,,,16.8,0.15,267.0,0.46,0,1999-2019,M-v,38h,(163056),,2001 YM70,,2459200.5,299.38844,80.4888,307.89793,6.04641,0.1227123,0.2942128,2.2388672,MPO469726,11,MPCLINUX,0000,2019-03-07,2459406.51265,3.3499822,1.9641307,2.5136037,1.1025768,1.4255351,MBA
,,,16.27,0.15,219.0,0.51,0,2002-2020,M-v,3Ek,(240752),,2005 JG152,,2459200.5,104.17406,217.0797,20.98058,7.38047,0.0787638,0.21388144,2.7691978,E2021-B55,12,Pan,0000,2020-10-08,2458713.43539,4.6081963,2.5510853,2.9873103,1.3760092,1.2771468,MBA
,,,15.4,0.15,127.0,0.39,0,2004-2019,M-v,38h,(481020),,2004 TZ105,,2459200.5,342.05602,308.22238,15.96521,26.16721,0.1132875,0.17335088,3.1855568,MPO477274,7,MPCLINUX,0000,2019-05-30,2459304.01253,5.6856226,2.824673,3.5464406,1.5723366,1.2134188,MBA
,,,14.51,0.15,1250.0,0.47,0.0,1998-2021,M-v,3Ek,(74145),,1998 QO84,,2459200.5,71.93998,19.97352,287.83483,10.04411,0.3025564,0.22798238,2.6538021,E2021-B10,19,Pan,0000,2021-01-13,2458884.94928,4.3231748,1.8508773,3.4567269,1.205436,1.3009171,MBA
,,,16.9,0.15,137.0,0.27,0,2005-2020,M-v,38h,(544288),,2014 UF18,,2459200.5,139.95815,354.45796,39.3703,4.83636,0.0978023,0.22053515,2.7132148,MPO529701,9,MPCLINUX,0000,2020-01-27,2458565.87018,4.4691637,2.4478562,2.9785734,1.3436311,1.2882539,MBA
,,,17.2,0.15,62.0,0.26,1.0,2008-2021,M-v,38h,,,2008 YJ179,,2459200.5,70.56522,65.51123,296.90054,10.88526,0.1900748,0.24395891,2.5366366,E2021-A62,7,MPCLINUX,0400,2021-01-07,2458911.24956,4.040056,2.0544859,3.0187873,1.222496,1.3289413,MBA
,,,17.3,0.15,83.0,0.39,1.0,2006-2020,M-v,38h,,,2015 DP204,,2459000.5,50.15766,318.42187,245.69569,12.12035,0.3223756,0.22052579,2.7132916,E2020-O85,4,MPCLINUX,0400,2020-07-23,2458773.05413,4.4693535,1.8385926,3.5879906,1.215655,1.2882381,MBA
,,,16.8,0.15,153.0,0.38,0,2006-2021,M-v,38h,,,2006 SN382,,2459200.5,74.64524,280.61086,74.63056,14.19393,0.220157,0.21807543,2.7335785,E2021-A28,6,MPCLINUX,0400,2021-01-04,2458858.20903,4.5195722,2.1317621,3.3353949,1.3005422,1.2841254,MBA
1.0,,,25.9,0.15,16.0,0.94,7,,M-v,3Eh,,,1994 EU,,2459000.5,97.63865,145.84237,351.49361,6.47152,0.2785821,0.60872495,1.3788657,MPO164143,1,MPCW,2803,1994-03-22,2458840.10135,1.6191346,0.9947384,1.762993,0.6359274,2.6151577,Apollo
,,,17.05,0.15,98.0,0.49,0,2007-2020,M-v,3Ek,(498161),,2007 TA135,,2459200.5,190.47263,149.52727,213.33871,5.18571,0.1521077,0.1898202,2.9985257,E2021-B25,8,Pan,0000,2020-02-16,2460093.59447,5.1923225,2.5424269,3.4546245,1.4645748,1.2385313,MBA
,,,14.47,0.15,1851.0,0.48,0,1951-2020,M-v,3Ek,(10344),,1992 CA2,['1993 OY7'],2459200.5,198.94528,329.71976,139.65364,4.28125,0.0533663,0.28871871,2.2671805,E2021-B10,24,Pan,0000,2020-09-11,2459758.32573,3.4137298,2.1461895,2.3881715,1.1303618,1.4142966,MBA
,,,16.34,0.15,231.0,0.49,0,1997-2020,M-v,3Ek,(215996),,2005 SP185,,2459200.5,326.28333,150.19603,124.61011,0.92177,0.1581077,0.17498515,3.1656914,E2021-B55,14,Pan,0000,2020-04-21,2459393.18309,5.6325216,2.6651712,3.6662116,1.5432777,1.2158652,MBA
,,,17.0,0.15,60.0,0.34,0.0,1996-2019,M-v,38h,,,2017 FX82,,2459000.5,200.24485,189.4794,31.40164,14.19458,0.2140873,0.18784145,3.0195467,MPO496098,6,MPCLINUX,0400,2019-10-07,2459850.97891,5.2470189,2.3731001,3.6659933,1.4405753,1.2354593,MBA
,,,15.13,0.15,313.0,0.61,0,2001-2020,M-v,3Ek,(317125),,2001 UA36,,2459200.5,177.10391,282.29651,88.19395,13.06215,0.1974773,0.17666282,3.1456177,E2021-B25,14,Pan,0000,2020-05-18,2458198.0031,5.5790327,2.5244296,3.7668058,1.5114736,1.2183867,MBA
,,,17.1,0.15,236.0,0.27,0,2001-2019,M-v,38h,(281483),,2008 SG241,,2459200.5,168.98576,182.52011,116.23301,2.78098,0.1460149,0.26766599,2.3845545,MPO507282,11,Williams,0000,2019-11-25,2458569.16908,3.6822297,2.036374,2.732735,1.1668575,1.3728241,MBA
,,,17.5,0.15,117.0,0.23,0.0,2004-2020,M-v,38h,,,2012 QQ47,,2459200.5,61.39829,140.84518,146.42873,13.05887,0.1512614,0.24650598,2.5191329,E2020-U37,8,MPCLINUX,0400,2020-10-16,2458951.42568,3.9983114,2.1380853,2.9001805,1.2307476,1.3335211,MBA
,,,17.4,0.15,14.0,0.74,,,,,,,2010 KC42,,2455320.5,277.32138,228.66657,158.74016,20.23121,0.1259516,0.34523818,2.0124426,MPO456708,1,MPCW,2000,2010-05-21,2455559.9829,2.8548629,1.7589722,2.265913,0.9902588,1.5391234,MBA
